Array Design Name	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Provider	 Agilent Technologies(cag_sales-na@agilent.com)
Comment[ArrayExpressAccession]	A-GEOD-14767
Comment[SecondaryAccession]	GPL14767
Comment[Description]	Array Manufacturer: Agilent Technologies, Catalogue number: G4470C, Distribution: commercial, Technology: in situ oligonucleotide, Human miRNA Microarray 3.0  Arrays of this design have barcodes that begin with 16021827 or 2521827.  Orientation: Features are numbered numbered Left-to-Right, Top-to-Bottom as scanned by an Agilent scanner (barcode on the left, DNA on the back surface, scanned through the glass), matching the FeatureNum output from Agilent's Feature Extraction software.  The ID column represents the Agilent Feature Extraction feature number.  Rows and columns are numbered as scanned by an Axon Scanner (barcode on the bottom, DNA on the front surface).  To match data scanned on an Axon scanner, use the RefNumber column contained in the Agilent-provided GAL file as the ID_REF column in sample submissions. <br>Reporter Name = Agilent feature number<br>Comment[CONTROL_TYPE] = Control type<br>Reporter Database Entry [mirbase] = miRBase LINK_PRE:http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=<br>Comment[GENE_NAME] = Gene Name<br>Comment[ACCESSION_STRING] = Accession String<br>Reporter Database Entry [chromosome_coordinate] = Chromosomal Location<br>Comment[SPOT_ID] = Spot identifier
Comment[SubmittedName]	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-10-20
Printing Protocol	see manufacturer's web site at http://www.agilent.com/
Surface Type
Substrate Type
Term Source Name	chromosome_coordinate	mirbase
14285	ebv-miR-BART12	HHV507799:000147940-000147957
14286	hsa-miR-92b	chr1:155165041-155165049
14287	hsa-miR-885-3p	chr3:10436236-10436222
14288	hsa-miR-220b_v15.0	chr19:6495973-6495989
14289	hsa-miR-500a*	chrX:049659835-049659851,chrX:049773095-049773111,chrX:049773095-049773111
14290		
14291	hsa-miR-31*	chr9:21512178-21512160
14292	hsa-miR-182	chr7:129410268-129410254
14293	hsa-miR-21	chr17:57918638-57918655
14294	hsa-miR-586	chr6:45165447-45165430
14295	hsa-miR-187	chr18:33484872-33484863
14296	hsa-miR-1914*	chr20:62572888-62572877
14297	hsa-miR-30b	chr8:135812800-135812786
14298	hsa-miR-374b*	chrX:73438443-73438424
14299	ebv-miR-BART18-5p	HHV507799:000145966-000145983
14300	hsa-miR-485-5p	chr14:101521771-101521785
14301	hsa-miR-1253	chr17:2651415-2651402
14302	hsa-miR-105	chrX:151560725-151560711,chrX:151562918-151562904
14303	hsa-miR-93*	chr7:99691461-99691450
14304	hsa-miR-29c*	chr1:207975233-207975216
14305	ebv-miR-BART19-5p	HHV507799:000148221-000148237
14306	hsa-miR-141*	chr12:7073281-7073297
14307	hsa-miR-580	chr5:36148075-36148058
14308	hsa-miR-135b*	chr1:205417505-205417493
14309	hsa-miR-1243	chr4:114028026-114028044
14310	hsa-miR-33a	chr22:42296954-42296973
14311	hsa-miR-636	chr17:74732614-74732604
14312	hsa-miR-1282	chr15:44085884-44085869
14313	hsa-miR-1281	chr22:41488554-41488565
14314	hsa-miR-664*	chr1:220373913-220373895
14315	hsa-miR-1225-5p	chr16:2140217-2140209
14316	hsa-miR-195*	chr17:6921007-6920994
14317	hsa-miR-890	chrX:145075823-145075809
14318	hsa-miR-1224-5p	chr3:183959202-183959211
14319	ebv-miR-BHRF1-3	HHV507799:000042974-000042989
14320	hsa-miR-1265	chr10:14478594-14478609
14321	hsa-miR-1288	chr17:16185378-16185392
14322	hsa-miR-520f	chr19:054185468-054185488,chr19:058902574-058902594
14323	hsa-miR-770-5p	chr14:101318754-101318768
14324	hsa-miR-1301	chr2:25551579-25551566
14325	hsa-miR-433	chr14:101348295-101348307
14326	hsa-miR-375	chr2:219866427-219866414
14327	hsa-miR-188-3p	chrX:49768167-49768182
14328	hsa-miR-505	chrX:139006378-139006362
14329	hsa-miR-548a-3p	chr6:018572081-018572096,chr6:018680060-018680075,chr6:135560364-135560379,chr6:135602057-135602072,chr8:105496678-105496663,chr8:105565854-105565839
14330	hsa-miR-591	chr7:95849008-95848995
14331	hsa-miR-613	chr12:12917649-12917662
14332	hsa-miR-374b	chrX:73438413-73438397
14333	kshv-miR-K12-7_v14.0	KSU75698:000120421-000120409
14334	hsa-miR-30c-2*	chr6:72086730-72086713
14335	hsa-miR-495	chr14:101500144-101500162
14336	hsa-miR-208b	chr14:23887262-23887244
14337	hsa-miR-500a*	chrX:049659834-049659851,chrX:049773094-049773111,chrX:049773094-049773111
14338	ebv-miR-BART17-3p	HHV507799:000139961-000139975
14339	hsa-miR-449b	chr5:54466510-54466495
14340	hsa-miR-603	chr10:24564681-24564695
14341	hsa-miR-142-3p	chr17:56408666-56408646
14342	ebv-miR-BART20-3p	HHV507799:000148382-000148395
14343	hsa-miR-1827	chr12:100583711-100583727
14344	hsa-miR-512-3p	chr19:054169987-054170004,chr19:054172471-054172488
14345	hsa-miR-130a	chr11:57408730-57408746
14346	hsa-miR-524-3p	chr19:054214312-054214328,chr19:058906124-058906140
14347	hsa-miR-429	chr1:1104439-1104456
14348	hsa-miR-302d	chr4:113569225-113569209
14349	hsa-miR-432*	chr14:101350886-101350901
14350	hsa-miR-1298	chrX:113949674-113949688
14351	hsa-miR-186*	chr1:71533388-71533369
14352	ebv-miR-BART6-3p	HHV507799:000140079-000140093
14353	hsa-miR-608	chr10:102734767-102734781
14354	hsa-miR-28-3p	chr3:188406632-188406643
14355	hsa-miR-200c*	chr12:7072875-7072887
14356	hsa-miR-1291	chr12:49048263-49048249
14357	hsa-miR-10b	chr2:177015060-177015079
14358	hsa-miR-588	chr6:126805798-126805812
14359	hsa-miR-300	chr14:101507758-101507772
14360	hsa-miR-23b*	chr9:97847514-97847530
14361	hsa-miR-154*	chr14:101526145-101526163
14362	hsa-miR-202	chr10:135061097-135061085
14363	hcmv-miR-UL112	HEHCMVCG:000163237-000163250
14364	hsa-miR-425	chr3:049032620-049032604,chr3:049057616-049057600
14365	ebv-miR-BART3*	HHV507799:000139092-000139107,HHV507799:000139092-000139107
14366	hsa-miR-518a-3p	chr19:054234315-054234331,chr19:054242644-054242660,chr19:058926127-058926143,chr19:058934456-058934472
14367	hsa-miR-301b	chr22:22007320-22007336
14368	hsa-miR-365	chr16:014403197-014403218,chr17:029902497-029902518
14369	hsa-miR-27a*	chr19:13947284-13947271
14370	hsa-miR-1911	chrX:113997765-113997777
14371	hsa-miR-24-2*	chr19:13947134-13947122
14372	hsa-miR-454	chr17:57215204-57215186
14373	hsa-miR-518e	chr19:54233150-54233165
14374	hsa-miR-1300_v13.0	chr15:51017938-51017926
14375	hsa-miR-26b	chr2:219267383-219267400
14376	hsa-miR-489	chr7:092951256-092951240,chr7:093113320-093113304
14377	hsa-miR-548i	chr3:125509306-125509292,chr4:009557848-009557834,chr8:007946522-007946508,chrX:083480791-083480777
14378	hsa-let-7e	chr19:52196050-52196067
14379	hsa-miR-564	chr3:44903401-44903413
14380	hiv1-miR-N367	unmapped
14381	hsa-miR-1200	chr7:36958991-36958978
14382	hsa-let-7a*	chr9:096938295-096938315,chr22:046508680-046508700
14383	hsa-miR-500a*	chrX:049659834-049659851,chrX:049773094-049773111,chrX:049773094-049773111
14384	hsa-miR-10a	chr17:46657243-46657224
14385	hcmv-miR-US25-1	HEHCMVCG:000215269-000215258
14386	hsa-miR-182	chr7:129410268-129410255
14387	hsa-miR-520b	chr19:54204525-54204541
14388	hsa-miR-1224-3p	chr3:183959265-183959277
14389	hsa-miR-574-3p	chr4:38869721-38869734
14390	hsa-miR-135b*	chr1:205417505-205417494
14391	hsa-miR-1911	chrX:113997764-113997777
14392	hsa-miR-1293	chr12:50627955-50627941
14393	hsa-miR-302c	chr4:113569583-113569565
14394	hsa-miR-148b*	chr12:54731028-54731045
14395	hsv1-miR-H3_v14.0	unmapped
14396	hsa-miR-519b-3p	chr19:54198519-54198538
14397	hsa-miR-1252	chr12:79813043-79813062
14398	hsa-miR-675	chr11:2018020-2018008
14399	hsa-miR-105	chrX:151560725-151560710,chrX:151562918-151562903
14400	hsa-miR-1279	chr12:69666967-69666952
14401	hsa-miR-520a-3p	chr19:054194189-054194208,chr19:058886001-058886020
14402	hsa-miR-378	chr5:149112439-149112450
14403	hsv1-miR-H1_v14.0	unmapped
14404	hsa-let-7a	chr9:096938247-096938265,chr11:122017255-122017237,chr22:046508635-046508653
14405	ebv-miR-BART18-3p	HHV507799:000146004-000146019
14406	hsa-miR-539	chr14:101513669-101513687
14407	hsa-miR-508-5p	chrX:146318478-146318465
14408	hsa-miR-30c-1*	chr1:41223015-41223032
14409	hsa-miR-324-3p	chr17:007067411-007067396,chr17:007126687-007126672
14410	hsa-miR-1308_v15.0	chrX:22080280-22080269
14411	hsa-miR-383	chr8:14710974-14710961
14412	hsa-miR-302c*	chr4:113569547-113569535
14413	hsa-miR-1827	chr12:100583711-100583727
14414	hsa-miR-450a	chrX:133674409-133674391,chrX:133674581-133674563
14415		
14416	hsa-miR-544	chr14:101515051-101515070
14417	hsa-miR-744*	chr17:11985288-11985304
14418	hsa-miR-1284	chr3:71591171-71591159
14419	hsa-miR-520h	chr19:54245823-54245841
14420	hsa-miR-452	chrX:151128134-151128119
14421	hsa-miR-129-3p	chr11:43603004-43603021
14422	hsa-miR-1181	chr19:10514167-10514158
14423	hsa-miR-659	chr22:38243766-38243755
14424	hsa-miR-1203	chr17:46233814-46233802
14425	hsa-miR-194	chr1:220291534-220291520,chr11:064658862-064658848
14426	hsa-miR-1197	chr14:101491961-101491977
14427	hsa-miR-664*	chr1:220373913-220373896
14428	hsa-miR-770-5p	chr14:101318754-101318768
14429	hsa-miR-1255b	chr1:167967908-167967924,chr4:036428011-036427995
14430	hsa-miR-1203	chr17:46233814-46233801
14431	hsa-miR-1257	chr20:60528643-60528630
14432	hsa-miR-1291	chr12:49048263-49048249
14433	hsa-miR-515-5p	chr19:054182273-054182293,chr19:054188279-054188299
14434	hsa-miR-302d*	chr4:113569186-113569177
14435	hsa-miR-1237	chr11:64136167-64136175
14436	hsa-miR-382	chr14:101520661-101520674
14437	hcmv-miR-UL22A	HEHCMVCG:000027655-000027667
14438		
14439	hsa-miR-20b	chrX:133303866-133303850
14440	hsa-miR-1247	chr14:102026684-102026673
14441	hsa-miR-548n	chr7:34980402-34980384
14442	hsa-miR-663	chr20:26188857-26188847
14443	hsa-miR-34a*	chr1:9211811-9211795
14444	ebv-miR-BART3*	HHV507799:000139093-000139107,HHV507799:000139093-000139107
14445	hsa-miR-1231	chr1:201777753-201777762
14446	hsa-miR-20b*	chrX:133303903-133303891
14447	hsa-miR-328	chr16:67236292-67236277
14448	hsa-miR-557	chr1:168344830-168344844
14449	hsa-miR-25*	chr7:99691216-99691204
14450	hsa-miR-519e*	chr19:54183213-54183228
14451	hsa-miR-616	chr12:57913022-57913012
14452	hsa-miR-939	chr8:145619401-145619391
14453	hsa-miR-199b-5p	chr9:130046868-130046848,chr9:131007047-131007027
14454	hsa-miR-622	chr13:90883501-90883516
14455	hsa-miR-380*	chr14:100561116-100561132,chr14:101491363-101491379
14456	hsa-miR-625	chr14:65937838-65937854
14457	ebv-miR-BHRF1-1	HHV507799:000041483-000041495
14458	hsa-miR-513a-5p	chrX:146295034-146295020,chrX:146307396-146307382
14459	hsa-miR-1244	chr2:232578085-232578103,chr5:118310342-118310360,chr12:009392142-009392124
14460		
14461	hsa-miR-574-3p	chr4:38869720-38869734
14462	hsa-miR-1300_v13.0	chr15:51017938-51017926
14463	ebv-miR-BART6-3p	HHV507799:000140079-000140093
14464	kshv-miR-K12-5_v14.0	KSU75698:000121329-000121319
14465	hsa-miR-211	chr15:31357281-31357262
14466	hsa-miR-584	chr5:148441912-148441897
14467	hsa-miR-30d	chr8:135817145-135817133
14468	hsa-miR-200c*	chr12:7072872-7072887
14469		
14470		
14471	hsa-miR-1228	chr12:57588348-57588357
14472	hsa-miR-423-5p	chr17:28444122-28444135
14473	hsa-miR-34a*	chr1:9211811-9211795
14474	hsa-miR-1286	chr22:20236723-20236710
14475	hsa-miR-223	chrX:65238781-65238800
14476	hsa-miR-190	chr15:63116171-63116191
14477	hsa-miR-301b	chr22:22007318-22007336
14478	hsa-miR-769-3p	chr19:46522267-46522280
14479	hsa-miR-381	chr14:101512313-101512326
14480	hsa-miR-1206	chr8:129021149-129021167
14481	hsa-miR-1915*	chr10:21785523-21785514
14482	hcmv-miR-UL148D	unmapped
14483	hsa-miR-1228*	chr12:57588297-57588307
14484	hsa-miR-103a	chr5:167987970-167987953,chr5:167987970-167987953,chr20:003898193-003898210,chr20:003898193-003898210
14485	hsa-miR-193b	chr16:14397882-14397895
14486	ebv-miR-BART1-5p	HHV507799:000139360-000139374
14487	hsa-miR-1262	chr1:68649235-68649218
14488		
14489	hiv1-miR-TAR-5p	unmapped
14490	jcv-miR-J1-5p	unmapped
14491	hsa-miR-566	chr3:50210777-50210792
14492	hsa-miR-1306	chr22:20073640-20073652
14493	hsa-let-7d	chr9:96941128-96941144
14494	hsa-miR-483-5p	chr11:2155392-2155379
14495	hsa-miR-195*	chr17:6921007-6920996
14496	hsa-miR-1	chr18:019409038-019409018,chr20:061151559-061151579
14497	hsa-miR-219-2-3p	chr9:131154979-131154965
14498		
14499	hsa-miR-501-5p	chrX:049661087-049661104,chrX:049774347-049774364
14500	hsa-miR-149	chr2:241395438-241395454
14501	hsa-miR-31	chr9:21512141-21512126
14502	hsa-miR-1197	chr14:101491961-101491977
14503	hsa-miR-566	chr3:50210778-50210792
14504	hsa-miR-483-5p	chr11:2155392-2155380
14505	hsa-miR-603	chr10:24564680-24564695
14506		
14507	hsa-miR-210	chr11:568175-568161
14508	hsa-miR-544	chr14:101515053-101515070
14509	hsa-miR-513b	chrX:146280596-146280582
14510	hsa-miR-429	chr1:1104440-1104456
14511	hsa-miR-485-3p	chr14:101521808-101521822
14512	hsa-miR-223*	chrX:65238741-65238758
14513	hsa-miR-302f	chr18:27878905-27878918
14514	hsa-miR-519d	chr19:54216658-54216675
14515	hsa-miR-1286	chr22:20236723-20236709
14516	hsa-miR-630	chr15:72879625-72879639
14517	hsa-miR-765	chr1:156906011-156905996
14518	hsa-miR-1246	chr2:177465736-177465723
14519	ebv-miR-BART20-5p	HHV507799:000148346-000148359,HHV507799:000148346-000148359
14520	hsa-miR-144*	chr17:27188586-27188566
14521	hsa-miR-125b	chr11:121970500-121970485,chr21:017962579-017962594
14522	hsa-miR-590-5p	chr7:073243480-073243500,chr7:073605544-073605564
14523	hsa-miR-484	chr16:15737166-15737179
14524	hsa-miR-627	chr15:42491804-42491786
14525	hsa-miR-23a	chr19:13947465-13947449
14526	ebv-miR-BART15	HHV507799:000139553-000139574
14527	hsa-miR-193b*	chr16:14397848-14397858
14528	hsa-miR-1283	chr19:054191754-054191769,chr19:054261505-054261520
14529	hsa-miR-513a-3p	chrX:146295074-146295060,chrX:146307436-146307422
14530	hsa-miR-302b	chr4:113569709-113569691
14531	hsa-miR-301a	chr17:054583351-054583331,chr17:057228569-057228549
14532	hsa-miR-451	chr17:27188424-27188405
14533	hsa-miR-1203	chr17:46233814-46233801
14534	ebv-miR-BART9	HHV507799:000147004-000147019
14535	hsa-miR-96	chr7:129414562-129414542
14536	hsa-miR-559	chr2:47604830-47604849
14537	hsa-miR-27a	chr19:13947324-13947310
14538	hsa-miR-127-3p	chr14:100419130-100419146,chr14:101349377-101349393
14539	hsa-miR-640	chr19:19545938-19545952
14540	hsa-miR-105*	chrX:151560762-151560746,chrX:151562955-151562939
14541	hsa-miR-24-1*	chr9:096888132-096888151,chr9:097848311-097848330
14542	hsa-miR-1287	chr10:100155011-100154998
14543	hsa-miR-520e	chr19:54179021-54179038
14544	hsa-miR-1181	chr19:10514167-10514158
14545	hsa-miR-450a	chrX:133674409-133674390,chrX:133674581-133674562
14546	hsa-miR-128	chr2:136423019-136423036,chr3:035786022-035786039
14547		
14548	ebv-miR-BART7	HHV507799:000146483-000146496
14549		
14550	hsa-miR-485-3p	chr14:101521807-101521822
14551	hsa-miR-567	chr3:111831668-111831685
14552	hsa-miR-18b*	chrX:133304140-133304128
14553	hsa-miR-1228	chr12:57588348-57588357
14554	kshv-miR-K12-2	KSU75698:000121709-000121698
14555	hsa-miR-92b	chr1:155165040-155165049
14556	hsa-miR-588	chr6:126805797-126805812
14557	hsa-miR-575	chr4:83674568-83674552
14558	hsa-miR-494	chr14:101496026-101496039
14559	hsa-miR-519e	chr19:54183247-54183266
14560	hsa-miR-1250	chr17:79107039-79107025
14561	hsa-miR-18b*	chrX:133304140-133304131
14562	hsa-miR-1277	chrX:117520404-117520424
14563	hsa-miR-329	chr14:101493173-101493192,chr14:101493490-101493509
14564	hsa-miR-572	chr4:11370519-11370530
14565	hsa-miR-133a	chr18:019405732-019405717,chr20:061162183-061162198
14566	hsa-miR-424	chrX:133680675-133680655
14567	hsa-miR-431	chr14:101347370-101347383
14568	hsa-miR-101	chr1:065524183-065524165,chr9:004850347-004850365
14569	hsa-miR-367*	chr4:113569056-113569037
14570		
14571	hsa-miR-18a*	chr13:92003059-92003073
14572	hsa-miR-639	chr19:14640425-14640437
14573	hsa-miR-10b	chr2:177015061-177015079
14574	hsa-miR-802	chr21:37093037-37093052
14575	hsa-miR-486-3p	chr8:41518024-41518010
14576	hsa-miR-181b	chr1:198828059-198828046,chr9:127456013-127456026
14577	hsa-miR-1181	chr19:10514167-10514157
14578	hsa-miR-320d	chr13:041302011-041301997,chrX:140008384-140008370
14579	hsa-miR-361-5p	chrX:085045323-085045308,chrX:085158667-085158652
14580	hsa-miR-518a-5p	chr19:054223370-054223384,chr19:054234278-054234292,chr19:054242607-054242621,chr19:054257290-054257304
14581	hsa-miR-637	chr19:3961495-3961481
14582	hsa-miR-181c*	chr19:13985585-13985598
14583	hsa-miR-509-5p	chrX:146340317-146340301,chrX:146342089-146342073
14584	hsa-miR-1255b	chr1:167967907-167967924,chr4:036428011-036427994
14585	hsa-miR-663b	chr2:133014649-133014639
14586	hsa-miR-125a-5p	chr19:52196528-52196544
14587	hsa-miR-1254	chr10:023682346-023682360,chr10:070519101-070519115
14588	hsa-miR-548k	chr11:70130099-70130113
14589	hsa-miR-208b	chr14:23887262-23887243
14590	hsa-miR-933	chr2:176032428-176032418
14591	hsa-miR-208b	chr14:23887262-23887243
14592	ebv-miR-BART7*	HHV507799:000146444-000146460
14593	hsv1-miR-H2*	unmapped
14594	hsa-miR-542-5p	chrX:133675408-133675390
14595	hsa-miR-936	chr10:105807882-105807869
14596		
14597	hsa-miR-1291	chr12:49048263-49048249
14598	ebv-miR-BART7*	HHV507799:000146443-000146460
14599	hsa-let-7i	chr12:62997473-62997492
14600	hsa-miR-181c*	chr19:13985585-13985598
14601	hsa-let-7d	chr9:96941127-96941144
14602	hsa-miR-501-5p	chrX:049661089-049661104,chrX:049774349-049774364
14603	hsa-miR-144*	chr17:27188586-27188567
14604	hsa-miR-340*	chr5:179442381-179442363
14605	hsa-miR-520f	chr19:054185468-054185488,chr19:058902574-058902594
14606	hsa-miR-628-5p	chr15:55665181-55665165
14607	hsa-miR-1229	chr5:179225346-179225337
14608	hsa-miR-1238	chr19:10662869-10662878
14609	hsv1-miR-H5-3p	unmapped
14610	hsa-miR-1224-5p	chr3:183959203-183959211
14611	ebv-miR-BART2-3p	HHV507799:000152787-000152806
14612	hsa-miR-219-1-3p	chr6:33175684-33175694
14613	hsa-miR-484	chr16:15737165-15737179
14614		
14615	hsa-miR-26a-1*	chr3:38010945-38010964
14616	hsa-miR-661	chr8:145019432-145019418
14617	hsa-miR-499-5p	chr20:33578213-33578231
14618	hcmv-miR-US25-2-5p	HEHCMVCG:000215473-000215458
14619	hsa-miR-216a	chr2:56216124-56216112
14620	hsa-miR-559	chr2:47604830-47604849
14621	hsa-miR-25	chr7:99691255-99691239
14622	hsa-miR-10b	chr2:177015061-177015079
14623	hsa-miR-512-5p	chr19:054169952-054169968,chr19:054172436-054172452
14624	hsa-miR-601	chr9:126164840-126164825
14625	hsa-miR-624*	chr14:030553639-030553623,chr14:031483888-031483872
14626	hsa-miR-1909*	chr19:1816193-1816183
14627	hsa-miR-1910	chr16:85775258-85775247
14628	hsa-miR-127-3p	chr14:100419130-100419146,chr14:101349377-101349393
14629	hsa-miR-454*	chr17:054569945-054569925,chr17:057215163-057215143
14630	hsa-miR-612	chr11:65211955-65211968
14631	hsa-miR-302c	chr4:113569583-113569567
14632	hsa-miR-876-5p	chr9:28863655-28863636
14633	hsa-miR-518e	chr19:54233149-54233165
14634	hsa-miR-933	chr2:176032428-176032416
14635	hsa-miR-302b	chr4:113569709-113569692
14636	hsa-miR-664	chr1:220373950-220373936
14637	hsa-miR-452*	chrX:151128178-151128162
14638	hsa-miR-10b	chr2:177015060-177015079
14639	hsa-miR-550a	chr7:030329440-030329453,chr7:030329440-030329453,chr7:032772623-032772636,chr7:032772623-032772636
14640	hsa-miR-200a	chr1:1103301-1103317
14641	hsa-miR-146a	chr5:159912383-159912400
14642		
14643	hsa-miR-20b	chrX:133303866-133303849
14644		
14645	kshv-miR-K12-9	KSU75698:000119361-000119349
14646	hsa-miR-1297	chr13:54886174-54886159
14647	hsa-miR-495	chr14:101500145-101500162
14648	hsa-miR-96*	chr7:129414604-129414590
14649	hsa-miR-200b*	chr1:1102515-1102525
14650	hsa-miR-16	chr3:160122545-160122563,chr13:050623143-050623125
14651	hsa-miR-1913	chr6:166922911-166922900
14652	hsa-miR-182	chr7:129410268-129410255
14653	hsv1-miR-H4*	unmapped
14654	hsa-miR-506	chrX:146312328-146312314
14655	hsa-miR-487b	chr14:101512847-101512863
14656	hsa-miR-567	chr3:111831668-111831685
14657	kshv-miR-K12-4-3p	KSU75698:000121478-000121463
14658	hsa-miR-135b	chr1:205417467-205417447
14659	hsa-miR-153	chr2:220158907-220158889,chr7:157367101-157367083
14660	hsa-let-7a*	chr9:096938297-096938315,chr22:046508682-046508700
14661	hsa-miR-208a	chr14:022927709-022927691,chr14:023857869-023857851
14662		
14663	hsa-miR-610	chr11:28078381-28078397
14664	hsa-miR-381	chr14:101512312-101512326
14665	hsa-miR-192	chr11:64658652-64658635
14666	hsa-miR-142-3p	chr17:56408666-56408646
14667	hsa-miR-299-5p	chr14:101490141-101490158
14668	hsa-miR-125b-2*	chr21:17962619-17962631
14669	hsa-miR-452*	chrX:151128178-151128163
14670	hsa-miR-221	chrX:45605671-45605655
14671	hsa-miR-424*	chrX:133680711-133680699
14672	hsa-miR-490-5p	chr7:136587960-136587971
14673	hsa-miR-532-5p	chrX:049654519-049654534,chrX:049767779-049767794
14674	hsa-miR-196a	chr12:054385548-054385567,chr17:046709879-046709860
14675		
14676	hsa-miR-876-5p	chr9:28863655-28863637
14677	hsa-miR-1202	chr6:156267952-156267963
14678	hsa-miR-142-5p	chr17:56408628-56408612
14679	hsa-miR-487b	chr14:101512848-101512863
14680	hsa-miR-302c*	chr4:113569547-113569535
14681	hsa-miR-544	chr14:101515051-101515070
14682	hsa-miR-485-5p	chr14:101521770-101521785
14683	hsa-miR-656	chr14:101533104-101533123
14684	hsa-miR-30b*	chr8:135812838-135812822
14685	hsa-miR-106b	chr7:99691647-99691633
14686	hsa-miR-1183	chr7:21510737-21510749
14687	hsa-miR-24-2*	chr19:13947134-13947121
14688	hsa-miR-769-3p	chr19:46522266-46522280
14689	hsa-miR-191*	chr3:49058129-49058118
14690	hcmv-miR-US25-2-5p	HEHCMVCG:000215473-000215457
14691	hsa-miR-615-5p	chr12:54427759-54427772
14692	hsa-miR-18b	chrX:133304098-133304081
14693	hsa-miR-30e	chr1:41220050-41220064
14694	hsa-miR-18a	chr13:92003016-92003032
14695		
14696	hsa-miR-708	chr11:79113098-79113087
14697	hsa-miR-27a	chr19:13947324-13947309
14698		
14699	kshv-miR-K12-5_v14.0	KSU75698:000121329-000121318
14700	hsa-miR-575	chr4:83674568-83674552
14701	hsa-miR-371-5p	chr19:54290942-54290953
14702	hsa-miR-30e	chr1:41220050-41220064
14703	hsa-miR-18a*	chr13:92003060-92003073
14704	hsa-miR-150	chr19:50004078-50004063
14705	hcmv-miR-UL112	HEHCMVCG:000163236-000163250
14706	hsa-miR-122	chr18:56118324-56118341
14707	hsa-miR-1306	chr22:20073640-20073652
14708	hsa-miR-196a*	chr12:54385593-54385604
14709	hsa-miR-302d	chr4:113569225-113569208
14710	hsa-miR-545	chrX:73507022-73507005
14711	hsa-miR-593*	chr7:127509175-127509188,chr7:127721939-127721952
14712	hsa-miR-152	chr17:46114600-46114587
14713	hsa-miR-937	chr8:144895198-144895186
14714	hsa-miR-1258	chr2:180725626-180725612
14715	hsa-miR-17	chr13:092002878-092002894,chrX:133304262-133304246
14716	hsa-miR-424	chrX:133680675-133680656
14717	hsa-miR-590-3p	chr7:73605585-73605603
14718	hsa-miR-593*	chr7:127509177-127509188,chr7:127721941-127721952
14719	hsa-miR-452*	chrX:151128178-151128164
14720	hsa-miR-187	chr18:33484872-33484861
14721	hsa-miR-586	chr6:45165447-45165429
14722	hsa-miR-505*	chrX:139006342-139006326
14723	hsa-miR-654-3p	chr14:101506611-101506627
14724	ebv-miR-BART9	HHV507799:000147003-000147019
14725	hsa-miR-549	chr15:81134399-81134384
14726	hsa-miR-199b-5p	chr9:130046868-130046847,chr9:131007047-131007026
14727	hsa-miR-875-3p	chr8:100549078-100549064
14728	hsa-miR-193b*	chr16:14397848-14397858
14729	hsa-miR-923_v12.0	chr17:30502317-30502302
14730	hsa-miR-17*	chr13:92002916-92002930
14731	hsa-miR-501-5p	chrX:049661090-049661104,chrX:049774350-049774364
14732		
14733	kshv-miR-K12-9	KSU75698:000119361-000119349
14734	hsa-miR-1244	chr2:232578086-232578103,chr5:118310343-118310360,chr12:009392142-009392125
14735	hsa-miR-492	chr12:95228208-95228225
14736	hsa-miR-375	chr2:219866427-219866414
14737	hsa-miR-553	chr1:100746815-100746832
14738	hsa-miR-581	chr5:53247369-53247354
14739	kshv-miR-K12-6-5p	KSU75698:000120787-000120774
14740	hsa-miR-1234	chr8:145625557-145625548
14741	hsa-miR-616	chr12:57913022-57913010
14742	hsa-miR-671-3p	chr7:150935585-150935594
14743	hsa-miR-144	chr17:27188621-27188604
14744	hsa-miR-877	chr6:30552120-30552128
14745	hcmv-miR-US5-2	HEHCMVCG:000196238-000196250
14746	hsa-miR-299-3p	chr14:101490175-101490190
14747	hsa-miR-28-5p	chr3:188406585-188406603,chr3:189889279-189889297
14748	hsa-miR-29c*	chr1:207975233-207975216
14749	hsa-miR-1294	chr5:153726720-153726734
14750	hsa-miR-549	chr15:81134399-81134384
14751		
14752	hsa-miR-499-3p	chr20:33578253-33578269
14753	hsa-miR-502-3p	chrX:49779265-49779278
14754	hsa-miR-31*	chr9:21512178-21512161
14755	hsa-miR-376b	chr14:101506838-101506855
14756	hsa-miR-588	chr6:126805798-126805812
14757	hsa-miR-492	chr12:95228209-95228225
14758	hsa-miR-323-5p	chr14:101492096-101492105
14759	hsa-miR-146a*	chr5:159912417-159912436
14760		
14761	hsa-miR-128	chr2:136423019-136423036,chr3:035786022-035786039
14762	hsa-miR-499-3p	chr20:33578254-33578269
14763	hsa-miR-151-3p	chr8:141742729-141742713,chr8:141811911-141811895
14764	hsa-miR-567	chr3:111831670-111831685
14765	hsa-miR-182*	chr7:129410309-129410292
14766	hsa-miR-625	chr14:65937837-65937854
14767	hsa-miR-143	chr5:148808549-148808561
14768	hsa-miR-628-5p	chr15:55665181-55665164
14769	hsa-miR-95	chr4:8007097-8007080
14770	hsa-miR-509-3p	chrX:146340353-146340338,chrX:146341234-146341219,chrX:146342125-146342110
14771	hsa-miR-196a*	chr12:54385593-54385604
14772	hsa-miR-523	chr19:54201697-54201713
14773	hsa-miR-1825	chr20:30825638-30825650
